admissionid,patientid,doctorid,hospitalid,admissiondate,dischargedate,diagnosis,department,admissiondays,stay_category
ADM-014722,202-96-6440,DR-0135,HOSP-004,2022-12-04,2022-12-18,Arthritis,Orthopedics,14,Medium Treatment
ADM-014723,940-52-7666,DR-0264,HOSP-009,2023-05-26,2023-06-13,Lung Cancer,Oncology,18,Long Treatment
ADM-014724,133-11-4438,DR-0259,HOSP-004,2022-03-14,2022-03-19,Diabetes,General Medicine,5,Medium Treatment
ADM-014725,429-12-9176,DR-0243,HOSP-010,2024-04-11,2024-04-20,Arrhythmia,Cardiology,9,Medium Treatment
ADM-014726,299-61-1033,DR-0219,HOSP-010,2023-09-21,2023-10-13,Ovarian Cyst,Gynecology,22,Long Treatment
ADM-014727,595-99-2684,DR-0132,HOSP-001,2023-01-29,2023-02-07,Food Poisoning,General Medicine,9,Medium Treatment
ADM-014728,916-44-9383,DR-0063,HOSP-002,2023-01-29,2023-02-19,Tonsillitis,Pediatrics,21,Long Treatment
ADM-014729,622-81-7644,DR-0194,HOSP-002,2023-03-01,2023-03-12,Asthma,Pediatrics,11,Medium Treatment
ADM-014730,839-98-7258,DR-0069,HOSP-009,2022-09-09,2022-09-10,Asthma,Pediatrics,1,Short Treatment
ADM-014731,365-43-6440,DR-0319,HOSP-007,2024-03-26,2024-04-12,Melanoma,Dermatology,17,Long Treatment
ADM-014732,937-47-4102,DR-0131,HOSP-007,2022-01-19,2022-02-03,Alzheimers,Neurology,15,Long Treatment
ADM-014733,953-72-7686,DR-0157,HOSP-005,2022-07-13,2022-07-14,Schizophrenia,Psychiatry,1,Short Treatment
ADM-014734,245-98-8113,DR-0190,HOSP-006,2022-12-16,2023-01-07,Dengue,General Medicine,22,Long Treatment
ADM-014735,281-89-8731,DR-0289,HOSP-004,2024-01-19,2024-02-04,Bronchitis,Pediatrics,16,Long Treatment
ADM-014736,927-93-9061,DR-0170,HOSP-003,2023-10-05,2023-10-09,Endometriosis,Gynecology,4,Short Treatment
ADM-014737,885-73-8635,DR-0251,HOSP-007,2022-08-07,2022-08-28,Ligament Tear,Orthopedics,21,Long Treatment
ADM-014738,874-44-7082,DR-0318,HOSP-008,2023-08-02,2023-08-26,Fracture,Orthopedics,24,Long Treatment
ADM-014739,394-44-1263,DR-0234,HOSP-007,2023-04-01,2023-04-04,Spinal Disc Herniation,Orthopedics,3,Short Treatment
ADM-014740,773-84-2743,DR-0331,HOSP-001,2023-09-16,2023-10-08,Leukemia,Oncology,22,Long Treatment
ADM-014741,401-62-7327,DR-0134,HOSP-004,2024-03-27,2024-04-01,Leukemia,Oncology,5,Medium Treatment
ADM-014742,369-15-6098,DR-0112,HOSP-003,2022-10-16,2022-10-29,Breast Cancer,Oncology,13,Medium Treatment
ADM-014743,331-31-2442,DR-0177,HOSP-008,2022-10-29,2022-11-08,Ligament Tear,Orthopedics,10,Medium Treatment
ADM-014744,201-62-7501,DR-0072,HOSP-001,2022-05-12,2022-05-28,Breast Cancer,Oncology,16,Long Treatment
ADM-014745,488-70-1661,DR-0265,HOSP-008,2022-03-11,2022-03-18,Ligament Tear,Orthopedics,7,Medium Treatment
ADM-014746,211-16-5666,DR-0307,HOSP-003,2022-11-08,2022-11-22,Lymphoma,Oncology,14,Medium Treatment
ADM-014747,863-91-3073,DR-0253,HOSP-010,2023-09-21,2023-10-10,Anxiety Disorder,Psychiatry,19,Long Treatment
ADM-014748,716-95-7265,DR-0270,HOSP-004,2022-11-08,2022-12-01,Myocardial Infarction,Cardiology,23,Long Treatment
ADM-014749,259-80-8571,DR-0152,HOSP-008,2024-03-06,2024-03-16,Coronary Artery Disease,Cardiology,10,Medium Treatment
ADM-014750,110-22-7179,DR-0072,HOSP-001,2022-03-02,2022-03-14,Lymphoma,Oncology,12,Medium Treatment
ADM-014751,423-94-1418,DR-0161,HOSP-006,2022-11-18,2022-11-24,Depression,Psychiatry,6,Medium Treatment
ADM-014752,271-14-5981,DR-0250,HOSP-008,2023-04-10,2023-04-16,Epilepsy,Neurology,6,Medium Treatment
ADM-014753,844-19-6359,DR-0029,HOSP-001,2023-07-23,2023-08-13,Bronchitis,Pediatrics,21,Long Treatment
ADM-014754,497-80-4970,DR-0002,HOSP-004,2022-07-24,2022-07-28,Stroke,Neurology,4,Short Treatment
ADM-014755,490-31-3501,DR-0215,HOSP-009,2022-09-02,2022-09-11,Diabetes,General Medicine,9,Medium Treatment
ADM-014756,300-17-3983,DR-0238,HOSP-004,2022-08-15,2022-09-05,Coronary Artery Disease,Cardiology,21,Long Treatment
ADM-014757,145-60-7406,DR-0095,HOSP-007,2022-04-06,2022-04-13,Chickenpox,Pediatrics,7,Medium Treatment
ADM-014758,666-43-3554,DR-0214,HOSP-003,2022-01-12,2022-02-02,Pregnancy,Gynecology,21,Long Treatment
ADM-014759,600-33-9882,DR-0180,HOSP-006,2023-03-17,2023-03-18,Myocardial Infarction,Cardiology,1,Short Treatment
ADM-014760,317-52-8023,DR-0340,HOSP-006,2023-01-27,2023-02-01,Bronchitis,Pediatrics,5,Medium Treatment
ADM-014761,408-22-9799,DR-0166,HOSP-010,2022-12-14,2022-12-15,Acne Vulgaris,Dermatology,1,Short Treatment
ADM-014762,361-80-2564,DR-0045,HOSP-004,2022-11-16,2022-12-11,Heart Failure,Cardiology,25,Long Treatment
ADM-014763,123-11-6658,DR-0144,HOSP-003,2022-08-08,2022-08-22,Dengue,General Medicine,14,Medium Treatment
ADM-014764,262-17-1976,DR-0343,HOSP-010,2022-11-01,2022-11-02,PCOS,Gynecology,1,Short Treatment
ADM-014765,541-94-3286,DR-0247,HOSP-007,2024-03-27,2024-04-15,Bronchitis,Pediatrics,19,Long Treatment
ADM-014766,700-64-2808,DR-0303,HOSP-002,2022-06-14,2022-06-20,Spinal Disc Herniation,Orthopedics,6,Medium Treatment
ADM-014767,173-63-7268,DR-0229,HOSP-001,2023-11-26,2023-12-11,Arthritis,Orthopedics,15,Long Treatment
ADM-014768,832-33-3114,DR-0313,HOSP-005,2022-09-09,2022-09-30,Pregnancy,Gynecology,21,Long Treatment
ADM-014769,422-33-8002,DR-0339,HOSP-007,2022-05-10,2022-05-14,Stroke,Neurology,4,Short Treatment
ADM-014770,958-55-2344,DR-0166,HOSP-010,2023-04-07,2023-04-13,Acne Vulgaris,Dermatology,6,Medium Treatment
ADM-014771,545-20-1438,DR-0128,HOSP-009,2024-02-27,2024-03-08,Diabetes,General Medicine,10,Medium Treatment
ADM-014772,321-68-8744,DR-0228,HOSP-003,2023-05-17,2023-05-23,Pneumonia,General Medicine,6,Medium Treatment
ADM-014773,957-19-4309,DR-0066,HOSP-008,2022-03-07,2022-03-20,Depression,Psychiatry,13,Medium Treatment
ADM-014774,863-98-8835,DR-0263,HOSP-004,2024-02-29,2024-03-22,Ligament Tear,Orthopedics,22,Long Treatment
ADM-014775,145-43-9010,DR-0276,HOSP-008,2022-09-25,2022-10-10,Acne Vulgaris,Dermatology,15,Long Treatment
ADM-014776,980-37-2420,DR-0075,HOSP-007,2022-03-28,2022-04-10,Pneumonia,General Medicine,13,Medium Treatment
ADM-014777,524-44-4531,DR-0244,HOSP-010,2022-08-03,2022-08-15,Pneumonia,General Medicine,12,Medium Treatment
ADM-014778,696-80-3426,DR-0337,HOSP-008,2022-09-03,2022-09-12,Alzheimers,Neurology,9,Medium Treatment
ADM-014779,208-81-7409,DR-0101,HOSP-002,2023-09-02,2023-09-22,Spinal Disc Herniation,Orthopedics,20,Long Treatment
ADM-014780,687-28-7835,DR-0271,HOSP-010,2024-01-03,2024-01-20,Asthma,Pediatrics,17,Long Treatment
ADM-014781,731-44-3969,DR-0204,HOSP-009,2022-11-30,2022-12-16,Eczema,Dermatology,16,Long Treatment
ADM-014782,912-95-4492,DR-0192,HOSP-002,2023-06-11,2023-06-14,Ligament Tear,Orthopedics,3,Short Treatment
ADM-014783,701-31-1699,DR-0185,HOSP-004,2023-06-19,2023-06-22,Bronchitis,Pediatrics,3,Short Treatment
ADM-014784,381-10-4100,DR-0178,HOSP-002,2023-04-15,2023-04-17,Tonsillitis,Pediatrics,2,Short Treatment
ADM-014785,799-42-3399,DR-0017,HOSP-003,2023-05-10,2023-05-23,Lung Cancer,Oncology,13,Medium Treatment
ADM-014786,755-18-4935,DR-0105,HOSP-003,2022-07-10,2022-07-30,Anxiety Disorder,Psychiatry,20,Long Treatment
ADM-014787,494-91-6625,DR-0112,HOSP-003,2022-08-02,2022-08-17,Lung Cancer,Oncology,15,Long Treatment
ADM-014788,521-82-3950,DR-0099,HOSP-003,2022-05-17,2022-05-24,Endometriosis,Gynecology,7,Medium Treatment
ADM-014789,499-85-9617,DR-0259,HOSP-004,2022-04-29,2022-05-09,Diabetes,General Medicine,10,Medium Treatment
ADM-014790,573-15-7392,DR-0173,HOSP-009,2024-01-26,2024-02-03,Measles,Pediatrics,8,Medium Treatment
ADM-014791,240-79-7537,DR-0300,HOSP-004,2024-03-20,2024-04-14,Epilepsy,Neurology,25,Long Treatment
ADM-014792,172-58-8803,DR-0318,HOSP-008,2022-10-29,2022-11-21,Arthritis,Orthopedics,23,Long Treatment
ADM-014793,436-22-7043,DR-0348,HOSP-004,2022-07-07,2022-07-17,Fracture,Orthopedics,10,Medium Treatment
ADM-014794,626-69-6246,DR-0316,HOSP-002,2023-06-19,2023-07-12,Alzheimers,Neurology,23,Long Treatment
ADM-014795,140-99-8708,DR-0075,HOSP-007,2022-09-07,2022-09-12,Dengue,General Medicine,5,Medium Treatment
ADM-014796,682-19-3855,DR-0244,HOSP-010,2022-07-25,2022-07-29,Food Poisoning,General Medicine,4,Short Treatment
ADM-014797,505-35-1047,DR-0074,HOSP-003,2023-07-15,2023-08-09,Chickenpox,Pediatrics,25,Long Treatment
ADM-014798,524-69-3152,DR-0313,HOSP-005,2023-11-25,2023-12-08,Ovarian Cyst,Gynecology,13,Medium Treatment
ADM-014799,289-67-9159,DR-0237,HOSP-003,2023-04-30,2023-05-25,Depression,Psychiatry,25,Long Treatment
ADM-014800,753-81-2760,DR-0099,HOSP-003,2024-03-30,2024-04-16,PCOS,Gynecology,17,Long Treatment
ADM-014801,184-52-1608,DR-0095,HOSP-007,2023-11-13,2023-12-04,Measles,Pediatrics,21,Long Treatment
ADM-014802,494-29-8355,DR-0192,HOSP-002,2022-02-12,2022-03-08,Arthritis,Orthopedics,24,Long Treatment
ADM-014803,556-20-9199,DR-0236,HOSP-003,2022-03-11,2022-04-04,Migraine,Neurology,24,Long Treatment
ADM-014804,798-80-1440,DR-0273,HOSP-003,2023-03-09,2023-03-11,Pregnancy,Gynecology,2,Short Treatment
ADM-014805,322-65-4303,DR-0113,HOSP-002,2023-02-02,2023-02-04,Lung Cancer,Oncology,2,Short Treatment
ADM-014806,588-36-5867,DR-0058,HOSP-005,2024-04-14,2024-05-05,Fracture,Orthopedics,21,Long Treatment
ADM-014807,495-53-4060,DR-0303,HOSP-002,2024-01-21,2024-02-13,Ligament Tear,Orthopedics,23,Long Treatment
ADM-014808,478-99-6931,DR-0052,HOSP-005,2022-10-05,2022-10-26,Anxiety Disorder,Psychiatry,21,Long Treatment
ADM-014809,360-15-8144,DR-0274,HOSP-003,2024-04-01,2024-04-17,Breast Cancer,Oncology,16,Long Treatment
ADM-014810,247-17-4376,DR-0037,HOSP-004,2022-10-19,2022-11-05,Eczema,Dermatology,17,Long Treatment
ADM-014811,220-40-6003,DR-0198,HOSP-006,2023-01-26,2023-02-19,Dengue,General Medicine,24,Long Treatment
ADM-014812,353-45-2380,DR-0242,HOSP-009,2023-12-10,2023-12-28,Arrhythmia,Cardiology,18,Long Treatment
ADM-014813,168-33-9797,DR-0259,HOSP-004,2023-10-30,2023-11-09,Dengue,General Medicine,10,Medium Treatment
ADM-014814,945-43-2675,DR-0230,HOSP-010,2024-05-24,2024-06-16,Breast Cancer,Oncology,23,Long Treatment
ADM-014815,214-86-7607,DR-0289,HOSP-004,2022-06-22,2022-07-06,Chickenpox,Pediatrics,14,Medium Treatment
ADM-014816,402-29-4214,DR-0212,HOSP-008,2024-01-23,2024-02-04,Depression,Psychiatry,12,Medium Treatment
ADM-014817,614-64-9745,DR-0233,HOSP-006,2022-10-27,2022-10-30,Heart Failure,Cardiology,3,Short Treatment
ADM-014818,828-78-5673,DR-0103,HOSP-005,2023-07-28,2023-08-08,Hypertension,Cardiology,11,Medium Treatment
ADM-014819,566-69-9246,DR-0080,HOSP-005,2023-02-15,2023-02-27,Acne Vulgaris,Dermatology,12,Medium Treatment
ADM-014820,877-83-7211,DR-0228,HOSP-003,2023-03-15,2023-03-19,Viral Fever,General Medicine,4,Short Treatment
ADM-014821,431-40-5550,DR-0258,HOSP-006,2023-07-21,2023-07-27,Psoriasis,Dermatology,6,Medium Treatment
ADM-014822,661-29-5485,DR-0162,HOSP-004,2022-09-23,2022-10-07,Fracture,Orthopedics,14,Medium Treatment
ADM-014823,580-48-7195,DR-0132,HOSP-001,2023-09-12,2023-09-13,Food Poisoning,General Medicine,1,Short Treatment
ADM-014824,504-93-3215,DR-0049,HOSP-008,2023-09-12,2023-09-24,Schizophrenia,Psychiatry,12,Medium Treatment
ADM-014825,938-91-3765,DR-0327,HOSP-003,2022-09-15,2022-09-27,Alzheimers,Neurology,12,Medium Treatment
ADM-014826,811-95-6423,DR-0140,HOSP-003,2024-02-05,2024-03-01,Chickenpox,Pediatrics,25,Long Treatment
ADM-014827,626-75-8300,DR-0204,HOSP-009,2024-04-17,2024-04-24,Melanoma,Dermatology,7,Medium Treatment
ADM-014828,334-26-3376,DR-0074,HOSP-003,2022-06-06,2022-06-17,Chickenpox,Pediatrics,11,Medium Treatment
ADM-014829,961-45-3293,DR-0172,HOSP-005,2023-03-07,2023-03-10,Pneumonia,General Medicine,3,Short Treatment
ADM-014830,738-11-8514,DR-0345,HOSP-002,2023-08-15,2023-09-02,Diabetes,General Medicine,18,Long Treatment
ADM-014831,498-53-7624,DR-0124,HOSP-003,2023-01-26,2023-02-12,Eczema,Dermatology,17,Long Treatment
ADM-014832,805-99-6101,DR-0069,HOSP-009,2023-12-09,2023-12-11,Measles,Pediatrics,2,Short Treatment
ADM-014833,207-19-6600,DR-0017,HOSP-003,2023-10-20,2023-11-03,Lung Cancer,Oncology,14,Medium Treatment
ADM-014834,831-94-7571,DR-0166,HOSP-010,2022-12-15,2022-12-17,Acne Vulgaris,Dermatology,2,Short Treatment
ADM-014835,926-42-5201,DR-0242,HOSP-009,2023-01-21,2023-02-08,Heart Failure,Cardiology,18,Long Treatment
ADM-014836,618-78-3868,DR-0312,HOSP-002,2022-07-18,2022-08-08,Bipolar Disorder,Psychiatry,21,Long Treatment
ADM-014837,642-92-1325,DR-0203,HOSP-010,2022-02-22,2022-02-28,PCOS,Gynecology,6,Medium Treatment
ADM-014838,816-14-7299,DR-0086,HOSP-007,2022-11-21,2022-11-25,Bipolar Disorder,Psychiatry,4,Short Treatment
ADM-014839,469-48-5519,DR-0084,HOSP-010,2022-08-23,2022-09-03,Arthritis,Orthopedics,11,Medium Treatment
ADM-014840,902-58-8846,DR-0243,HOSP-010,2023-05-06,2023-05-13,Arrhythmia,Cardiology,7,Medium Treatment
ADM-014841,561-69-3194,DR-0288,HOSP-001,2022-08-04,2022-08-14,Arthritis,Orthopedics,10,Medium Treatment
ADM-014842,763-47-7754,DR-0056,HOSP-007,2024-05-01,2024-05-21,Stroke,Neurology,20,Long Treatment
ADM-014843,532-55-3088,DR-0151,HOSP-001,2022-01-19,2022-01-20,Schizophrenia,Psychiatry,1,Short Treatment
ADM-014844,603-29-6517,DR-0322,HOSP-010,2023-05-20,2023-06-03,Ligament Tear,Orthopedics,14,Medium Treatment
ADM-014845,786-96-3861,DR-0109,HOSP-001,2023-09-22,2023-10-13,Melanoma,Dermatology,21,Long Treatment
ADM-014846,685-54-6890,DR-0323,HOSP-006,2022-11-20,2022-12-10,Arrhythmia,Cardiology,20,Long Treatment
ADM-014847,705-60-8260,DR-0133,HOSP-006,2023-03-20,2023-04-06,Stroke,Neurology,17,Long Treatment
ADM-014848,277-35-9449,DR-0051,HOSP-008,2023-07-11,2023-08-05,Lymphoma,Oncology,25,Long Treatment
ADM-014849,951-21-4404,DR-0153,HOSP-005,2024-05-10,2024-05-18,Eczema,Dermatology,8,Medium Treatment
ADM-014850,991-49-6562,DR-0024,HOSP-009,2024-01-07,2024-01-26,Depression,Psychiatry,19,Long Treatment
ADM-014851,473-24-3660,DR-0286,HOSP-003,2023-08-11,2023-09-01,Endometriosis,Gynecology,21,Long Treatment
ADM-014852,281-34-6648,DR-0307,HOSP-003,2022-06-18,2022-06-25,Lung Cancer,Oncology,7,Medium Treatment
ADM-014853,436-28-1046,DR-0030,HOSP-007,2023-01-27,2023-02-03,Asthma,Pediatrics,7,Medium Treatment
ADM-014854,909-53-4548,DR-0072,HOSP-001,2022-09-18,2022-09-29,Breast Cancer,Oncology,11,Medium Treatment
ADM-014855,122-44-1975,DR-0113,HOSP-002,2023-10-10,2023-10-24,Leukemia,Oncology,14,Medium Treatment
ADM-014856,376-70-9652,DR-0228,HOSP-003,2023-01-07,2023-01-13,Diabetes,General Medicine,6,Medium Treatment
ADM-014857,462-65-1744,DR-0185,HOSP-004,2023-12-26,2024-01-07,Measles,Pediatrics,12,Medium Treatment
ADM-014858,315-16-2301,DR-0213,HOSP-001,2024-05-21,2024-06-01,Leukemia,Oncology,11,Medium Treatment
ADM-014859,185-76-7999,DR-0246,HOSP-007,2024-05-16,2024-06-04,Bronchitis,Pediatrics,19,Long Treatment
ADM-014860,584-80-9698,DR-0062,HOSP-001,2023-05-25,2023-06-05,Acne Vulgaris,Dermatology,11,Medium Treatment
ADM-014861,927-50-9368,DR-0087,HOSP-008,2023-05-21,2023-06-04,Stroke,Neurology,14,Medium Treatment
ADM-014862,382-23-4871,DR-0029,HOSP-001,2023-03-24,2023-04-02,Tonsillitis,Pediatrics,9,Medium Treatment
ADM-014863,660-40-1972,DR-0165,HOSP-007,2022-03-02,2022-03-27,Endometriosis,Gynecology,25,Long Treatment
ADM-014864,737-23-7275,DR-0346,HOSP-005,2022-06-16,2022-07-11,Pregnancy,Gynecology,25,Long Treatment
ADM-014865,390-68-6457,DR-0088,HOSP-004,2024-03-09,2024-03-10,Depression,Psychiatry,1,Short Treatment
ADM-014866,856-75-8903,DR-0125,HOSP-006,2023-10-04,2023-10-29,Heart Failure,Cardiology,25,Long Treatment
ADM-014867,992-33-4458,DR-0040,HOSP-004,2023-03-15,2023-03-20,Pregnancy,Gynecology,5,Medium Treatment
ADM-014868,718-41-7912,DR-0183,HOSP-002,2023-12-14,2024-01-01,Lung Cancer,Oncology,18,Long Treatment
ADM-014869,617-18-4690,DR-0123,HOSP-003,2022-08-04,2022-08-29,Hypertension,Cardiology,25,Long Treatment
ADM-014870,701-31-6425,DR-0026,HOSP-001,2023-06-24,2023-07-08,Arrhythmia,Cardiology,14,Medium Treatment
ADM-014871,172-21-6010,DR-0155,HOSP-008,2023-02-10,2023-02-18,Tonsillitis,Pediatrics,8,Medium Treatment
ADM-014872,807-67-2983,DR-0051,HOSP-008,2023-04-01,2023-04-19,Lung Cancer,Oncology,18,Long Treatment
ADM-014873,126-45-5197,DR-0219,HOSP-010,2022-03-30,2022-04-20,Endometriosis,Gynecology,21,Long Treatment
ADM-014874,447-20-7061,DR-0119,HOSP-003,2023-12-24,2024-01-10,Parkinsons,Neurology,17,Long Treatment
ADM-014875,744-55-1129,DR-0278,HOSP-006,2022-03-03,2022-03-13,Pneumonia,General Medicine,10,Medium Treatment
ADM-014876,187-30-2986,DR-0321,HOSP-009,2023-08-04,2023-08-29,Measles,Pediatrics,25,Long Treatment
ADM-014877,780-53-1450,DR-0166,HOSP-010,2022-07-06,2022-07-20,Acne Vulgaris,Dermatology,14,Medium Treatment
ADM-014878,207-51-8138,DR-0219,HOSP-010,2023-02-04,2023-02-13,Endometriosis,Gynecology,9,Medium Treatment
ADM-014879,217-45-8447,DR-0001,HOSP-002,2023-04-24,2023-04-26,Lung Cancer,Oncology,2,Short Treatment
ADM-014880,359-95-2407,DR-0015,HOSP-005,2023-12-13,2023-12-27,Eczema,Dermatology,14,Medium Treatment
ADM-014881,755-98-4598,DR-0267,HOSP-002,2022-11-15,2022-12-02,Heart Failure,Cardiology,17,Long Treatment
ADM-014882,881-95-7781,DR-0166,HOSP-010,2022-09-21,2022-09-23,Melanoma,Dermatology,2,Short Treatment
ADM-014883,220-81-3052,DR-0349,HOSP-003,2022-09-27,2022-10-01,Psoriasis,Dermatology,4,Short Treatment
ADM-014884,480-26-5403,DR-0182,HOSP-009,2023-05-12,2023-05-20,Chickenpox,Pediatrics,8,Medium Treatment
ADM-014885,681-75-7900,DR-0222,HOSP-003,2022-10-21,2022-11-02,Leukemia,Oncology,12,Medium Treatment
ADM-014886,271-40-4496,DR-0023,HOSP-009,2024-01-01,2024-01-26,Breast Cancer,Oncology,25,Long Treatment
ADM-014887,211-46-8557,DR-0106,HOSP-001,2023-01-27,2023-02-19,Arthritis,Orthopedics,23,Long Treatment
ADM-014888,637-10-8550,DR-0090,HOSP-009,2023-01-05,2023-01-12,Schizophrenia,Psychiatry,7,Medium Treatment
ADM-014889,806-14-2837,DR-0317,HOSP-007,2024-05-16,2024-06-01,Alzheimers,Neurology,16,Long Treatment
ADM-014890,996-52-3427,DR-0082,HOSP-005,2022-06-26,2022-07-03,Bipolar Disorder,Psychiatry,7,Medium Treatment
ADM-014891,438-54-7121,DR-0079,HOSP-010,2022-05-25,2022-05-30,Lung Cancer,Oncology,5,Medium Treatment
ADM-014892,553-58-6694,DR-0322,HOSP-010,2023-12-03,2023-12-23,Ligament Tear,Orthopedics,20,Long Treatment
ADM-014893,162-69-6178,DR-0256,HOSP-006,2023-10-31,2023-11-02,Bipolar Disorder,Psychiatry,2,Short Treatment
ADM-014894,969-84-2582,DR-0055,HOSP-001,2022-05-06,2022-05-14,Spinal Disc Herniation,Orthopedics,8,Medium Treatment
ADM-014895,527-71-6074,DR-0323,HOSP-006,2024-04-26,2024-05-12,Coronary Artery Disease,Cardiology,16,Long Treatment
ADM-014896,138-46-3138,DR-0282,HOSP-010,2023-11-05,2023-11-18,Acne Vulgaris,Dermatology,13,Medium Treatment
ADM-014897,433-48-5314,DR-0093,HOSP-006,2023-09-07,2023-10-01,Endometriosis,Gynecology,24,Long Treatment
ADM-014898,496-81-8170,DR-0122,HOSP-002,2022-09-09,2022-09-20,Bronchitis,Pediatrics,11,Medium Treatment
ADM-014899,147-97-5247,DR-0294,HOSP-008,2023-09-12,2023-09-24,Asthma,Pediatrics,12,Medium Treatment
ADM-014900,410-41-2464,DR-0050,HOSP-002,2024-03-25,2024-04-02,Coronary Artery Disease,Cardiology,8,Medium Treatment
ADM-014901,281-72-7549,DR-0151,HOSP-001,2022-11-02,2022-11-17,Schizophrenia,Psychiatry,15,Long Treatment
ADM-014902,259-89-3731,DR-0053,HOSP-004,2023-09-01,2023-09-11,Diabetes,General Medicine,10,Medium Treatment
ADM-014903,705-13-6761,DR-0039,HOSP-005,2022-10-06,2022-10-26,PCOS,Gynecology,20,Long Treatment
ADM-014904,473-16-4745,DR-0348,HOSP-004,2023-04-08,2023-04-23,Ligament Tear,Orthopedics,15,Long Treatment
ADM-014905,904-81-6761,DR-0112,HOSP-003,2023-10-21,2023-10-29,Lymphoma,Oncology,8,Medium Treatment
ADM-014906,775-78-5400,DR-0099,HOSP-003,2022-03-10,2022-04-01,Endometriosis,Gynecology,22,Long Treatment
ADM-014907,103-75-3207,DR-0194,HOSP-002,2022-07-07,2022-07-30,Bronchitis,Pediatrics,23,Long Treatment
ADM-014908,600-24-6332,DR-0156,HOSP-009,2022-07-21,2022-07-29,Leukemia,Oncology,8,Medium Treatment
ADM-014909,763-12-3359,DR-0316,HOSP-002,2023-10-30,2023-11-23,Stroke,Neurology,24,Long Treatment
ADM-014910,854-73-1712,DR-0290,HOSP-007,2024-04-02,2024-04-16,Psoriasis,Dermatology,14,Medium Treatment
ADM-014911,923-73-6194,DR-0211,HOSP-007,2024-05-03,2024-05-19,Bipolar Disorder,Psychiatry,16,Long Treatment
ADM-014912,669-79-9655,DR-0001,HOSP-002,2022-05-26,2022-06-16,Lymphoma,Oncology,21,Long Treatment
ADM-014913,162-13-1739,DR-0230,HOSP-010,2022-03-31,2022-04-03,Lung Cancer,Oncology,3,Short Treatment
ADM-014914,590-74-5375,DR-0250,HOSP-008,2022-11-30,2022-12-21,Alzheimers,Neurology,21,Long Treatment
ADM-014915,891-58-1718,DR-0071,HOSP-010,2023-08-31,2023-09-09,Bronchitis,Pediatrics,9,Medium Treatment
ADM-014916,394-47-6427,DR-0206,HOSP-006,2023-12-18,2024-01-11,Depression,Psychiatry,24,Long Treatment
ADM-014917,495-16-3175,DR-0058,HOSP-005,2022-06-22,2022-07-06,Ligament Tear,Orthopedics,14,Medium Treatment
ADM-014918,987-78-1518,DR-0016,HOSP-008,2022-08-18,2022-09-01,Epilepsy,Neurology,14,Medium Treatment
ADM-014919,330-35-3655,DR-0092,HOSP-009,2022-02-26,2022-03-14,Ovarian Cyst,Gynecology,16,Long Treatment
ADM-014920,587-59-8630,DR-0064,HOSP-006,2022-09-06,2022-09-10,Measles,Pediatrics,4,Short Treatment
ADM-014921,429-14-9941,DR-0070,HOSP-002,2022-01-29,2022-02-14,Endometriosis,Gynecology,16,Long Treatment
ADM-014922,353-40-6113,DR-0284,HOSP-005,2023-09-12,2023-10-07,Viral Fever,General Medicine,25,Long Treatment
ADM-014923,825-83-5647,DR-0082,HOSP-005,2022-01-07,2022-01-21,Anxiety Disorder,Psychiatry,14,Medium Treatment
ADM-014924,304-67-1759,DR-0171,HOSP-008,2023-11-18,2023-11-24,Myocardial Infarction,Cardiology,6,Medium Treatment
ADM-014925,686-51-7133,DR-0207,HOSP-010,2022-05-29,2022-05-31,Psoriasis,Dermatology,2,Short Treatment
ADM-014926,753-97-9824,DR-0278,HOSP-006,2023-11-10,2023-11-14,Diabetes,General Medicine,4,Short Treatment
ADM-014927,590-74-5375,DR-0142,HOSP-010,2022-08-15,2022-08-16,Fracture,Orthopedics,1,Short Treatment
ADM-014928,664-71-3121,DR-0019,HOSP-007,2023-06-26,2023-07-10,Stroke,Neurology,14,Medium Treatment
ADM-014929,708-28-1879,DR-0350,HOSP-009,2022-06-12,2022-06-13,Tonsillitis,Pediatrics,1,Short Treatment
ADM-014930,491-87-4439,DR-0275,HOSP-007,2023-07-13,2023-07-24,Psoriasis,Dermatology,11,Medium Treatment
ADM-014931,686-10-5926,DR-0167,HOSP-002,2022-03-05,2022-03-18,Melanoma,Dermatology,13,Medium Treatment
ADM-014932,825-69-8864,DR-0166,HOSP-010,2023-02-08,2023-03-02,Psoriasis,Dermatology,22,Long Treatment
ADM-014933,653-12-7326,DR-0032,HOSP-008,2022-08-24,2022-09-16,Melanoma,Dermatology,23,Long Treatment
ADM-014934,432-39-3928,DR-0014,HOSP-008,2022-07-25,2022-08-07,Schizophrenia,Psychiatry,13,Medium Treatment
ADM-014935,809-94-9495,DR-0151,HOSP-001,2023-12-21,2023-12-28,Depression,Psychiatry,7,Medium Treatment
ADM-014936,256-93-5757,DR-0098,HOSP-001,2023-10-23,2023-10-28,Spinal Disc Herniation,Orthopedics,5,Medium Treatment
ADM-014937,675-52-4274,DR-0339,HOSP-007,2022-03-20,2022-04-12,Parkinsons,Neurology,23,Long Treatment
ADM-014938,417-83-6023,DR-0089,HOSP-007,2023-03-19,2023-03-30,Acne Vulgaris,Dermatology,11,Medium Treatment
ADM-014939,135-10-4253,DR-0282,HOSP-010,2022-05-23,2022-05-31,Acne Vulgaris,Dermatology,8,Medium Treatment
